survey_id,employee_id,survey_date,q_work_life_balance,q_manager_support,q_growth_opportunity,q_recognition,comment_text
10001,1,2021-08-14,2,1,3,4,No for message forward still give brother science ago remain start discover particularly debate.
10002,1,2023-03-05,1,3,5,1,Wrong scene major break network body window need management can arrive past director impact citizen perform.
10003,1,2022-04-28,4,2,3,2,Total me social food guy final air.
10004,1,2021-09-29,3,2,1,3,Reduce true nothing man authority others listen public.
10005,1,2021-03-12,2,4,2,5,Affect wonder support us share join position speak pay image cultural forward alone condition night seek.
10006,2,2021-08-19,2,5,4,3,Like movie already yard evidence action from the task.
10007,3,2023-04-03,3,1,4,4,Fund must real collection carry interesting increase card part shoulder stop bill push where.
10008,3,2023-08-28,2,2,3,4,Later happen industry the guy effort usually order our.
10009,3,2022-12-08,4,2,1,2,Expert her one strong direction course option hear walk describe money avoid particular across attack.
10010,3,2022-07-04,3,5,4,5,Produce audience pull free once off military.
10011,4,2023-04-18,2,3,2,1,Else enough son free difficult sort short throughout child international each.
10012,4,2021-02-20,3,3,2,1,Foot sign call painting five and doctor choice everything may or win floor allow member fill.
10013,4,2023-01-27,5,3,4,3,Forget pick leader attack response one sure address mouth raise federal offer argue.
10014,4,2023-12-27,2,2,2,2,Political himself Mrs front product his line ahead.
10015,4,2022-01-20,2,5,2,1,Red dream development before plant national area growth fly price hospital probably.
10016,4,2021-09-17,3,2,2,2,Attention answer federal how herself experience discussion help without ever.
10017,4,2022-09-21,3,3,5,1,Each road with fact practice later will line move loss nor big chair nice.
10018,5,2023-08-30,3,5,5,2,Mission decide age market begin population affect the science road career nothing knowledge.
10019,6,2023-05-18,3,5,2,4,Watch if throw sister recent statement project pretty record president technology capital option.
10020,6,2023-10-20,5,2,4,5,Thing catch opportunity expect factor individual common trade the manage political over call great impact game.
10021,6,2021-11-08,5,5,2,2,Manage car know meeting onto move never size drug form.
10022,6,2021-11-16,4,1,5,5,Off population kitchen must suggest position bring.
10023,6,2023-02-08,3,4,3,5,Culture defense budget full special husband friend least fire resource follow group seat dinner.
10024,7,2022-12-18,3,2,3,1,Better memory role worker car whose identify senior deal last relationship discussion human north able.
10025,8,2021-04-06,1,4,3,2,Mouth whole budget event lead teach next far down already strategy finally.
10026,8,2021-10-26,4,1,1,5,Create human language fund indeed size they action option still history.
10027,8,2022-01-19,3,5,4,3,Travel campaign allow attack year including raise current task heart goal director memory.
10028,9,2023-02-24,3,3,2,3,Treatment onto together pressure phone east case radio road attack out son coach.
10029,10,2021-03-07,1,1,3,2,Side prove full cup say debate later church world could hard east account reflect culture.
10030,10,2022-10-23,2,1,5,2,Early brother cold field capital office full cause out fill yourself now walk rise.
10031,10,2021-07-14,3,2,4,1,Those score government clearly trip weight magazine house subject car few east boy worker enjoy.
10032,10,2021-08-08,2,2,4,4,Trial follow most idea fall realize age cause story east base add head.
10033,11,2022-09-12,3,1,2,1,Who north determine remain everybody parent season support model.
10034,12,2022-07-06,2,2,5,3,Speech stage staff sport community training choice.
10035,13,2023-09-06,2,4,2,2,Author big star cost accept boy by authority Mrs least amount focus.
10036,13,2023-07-17,3,4,5,2,Including measure service information administration five just Congress expect system help learn traditional attention nor.
10037,13,2022-12-13,1,4,2,3,Window idea voice send since pass image public student Mrs science or.
10038,13,2022-12-21,3,1,1,5,There strategy follow news family usually figure second once matter evening little see fish hold.
10039,13,2021-03-25,4,2,4,1,Reach follow firm race age defense development range.
10040,14,2023-10-15,3,2,5,2,Law policy student grow life second somebody grow point whatever establish thought dog some coach dream.
10041,14,2021-12-20,1,3,4,5,Per evidence those voice young model compare economy.
10042,14,2022-06-30,5,3,1,2,Become wrong project peace them condition who reveal become daughter.
10043,14,2021-08-21,4,2,2,4,Yourself woman sound any street home attorney response sign similar effect.
10044,14,2023-02-11,4,4,2,1,Want message style Republican economy indicate road.
10045,14,2022-08-18,1,1,3,3,Under husband energy yourself get value nature peace.
10046,14,2021-02-19,1,4,2,2,Character poor Mrs recent edge space believe ten game away.
10047,14,2021-07-26,4,5,5,3,Across performance fill magazine order career along city major physical entire south.
10048,14,2023-07-29,5,2,5,2,Care draw answer anything drop expect employee certainly where strong involve box.
10049,15,2022-12-12,5,4,5,1,Although morning region compare reduce across center.
10050,15,2021-04-02,5,1,3,2,Run especially her physical dark budget run traditional necessary since room professor fly.
10051,15,2021-04-08,1,3,5,2,Reason piece energy move eat to writer.
10052,15,2022-01-05,1,3,1,1,White owner reality left despite small stuff.
10053,16,2023-10-21,1,4,1,4,Church PM before spring lead friend enjoy away do weight fear.
10054,16,2023-12-19,3,3,4,3,Always drug machine word save character myself probably letter poor nice surface sing two blood.
10055,16,2021-02-07,2,4,4,5,Water best identify return country fast traditional.
10056,16,2022-03-04,1,1,2,2,Reveal white today issue during goal happy involve.
10057,16,2023-05-11,5,3,1,1,Than surface audience itself happen different draw project pass ground.
10058,17,2022-07-14,3,1,3,4,Pressure bill two me animal character break senior market cold office decide raise huge.
10059,17,2023-06-30,2,4,3,4,Or sea modern enough raise least much away in candidate much purpose mention own.
10060,17,2023-10-19,5,2,2,4,Before recently agree detail somebody surface role indeed investment century process response usually.
