EmployeeID,FirstName,LastName,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,EducationLevel,HireDate,EmploymentStatus,ManagerID,BusinessTravel,OverTime
1,Emp1,LN1,21,Male,Single,IT,IT Support,6274,High School,2006-08-13,Terminated,,Travel_Frequently,Yes
2,Emp2,LN2,23,Female,Single,Engineering,Data Engineer,12147,Master's,2006-12-06,Terminated,,Travel_Rarely,Yes
3,Emp3,LN3,59,Male,Married,Marketing,Marketing Analyst,9454,PhD,2008-05-26,Active,,Travel_Frequently,Yes
4,Emp4,LN4,44,Male,Divorced,Finance,Finance Manager,4758,PhD,2016-06-06,Terminated,,Travel_Frequently,No
5,Emp5,LN5,43,Male,Married,Engineering,Data Engineer,5832,Master's,2018-09-21,Terminated,,Non-Travel,No
6,Emp6,LN6,43,Male,Single,Engineering,Data Engineer,8608,PhD,2022-12-13,Active,,Non-Travel,No
7,Emp7,LN7,49,Nonbinary,Single,R&D,Lab Technician,17444,Bachelor's,2019-09-07,Terminated,,Travel_Frequently,No
8,Emp8,LN8,25,Male,Divorced,Finance,Accountant,5757,PhD,2020-01-19,Active,,Non-Travel,No
9,Emp9,LN9,52,Female,Married,Operations,Logistics Coordinator,10739,PhD,2017-04-16,Terminated,,Travel_Frequently,Yes
10,Emp10,LN10,59,Male,Divorced,Sales,Account Manager,15224,Associate's,2006-08-28,Leave of Absence,,Travel_Frequently,No
11,Emp11,LN11,58,Female,Married,Sales,Account Manager,4688,PhD,2008-01-17,Active,128.0,Travel_Rarely,No
12,Emp12,LN12,36,Female,Single,Human Resources,Recruiter,19978,High School,2022-06-22,Leave of Absence,28.0,Non-Travel,No
13,Emp13,LN13,60,Female,Divorced,Sales,Sales Executive,16075,High School,2017-12-06,Leave of Absence,29.0,Travel_Rarely,No
14,Emp14,LN14,54,Nonbinary,Divorced,R&D,Research Scientist,10625,Bachelor's,2012-09-21,Leave of Absence,88.0,Travel_Frequently,Yes
15,Emp15,LN15,25,Male,Divorced,IT,IT Support,8263,PhD,2009-05-01,Terminated,145.0,Travel_Rarely,No
16,Emp16,LN16,49,Male,Married,Customer Success,Support Associate,18881,Master's,2018-02-13,Leave of Absence,80.0,Non-Travel,Yes
17,Emp17,LN17,31,Female,Married,R&D,Principal Researcher,4148,Associate's,2021-06-04,Terminated,98.0,Travel_Frequently,No
18,Emp18,LN18,22,Nonbinary,Single,Engineering,Software Engineer,10435,High School,2019-01-22,Active,89.0,Travel_Rarely,No
19,Emp19,LN19,26,Female,Single,Marketing,Marketing Analyst,12970,Bachelor's,2012-07-16,Leave of Absence,127.0,Travel_Rarely,No
20,Emp20,LN20,47,Male,Married,Engineering,Data Engineer,16751,High School,2019-01-05,Leave of Absence,84.0,Non-Travel,No
21,Emp21,LN21,57,Female,Single,Engineering,Software Engineer,6833,High School,2009-06-07,Leave of Absence,112.0,Non-Travel,No
22,Emp22,LN22,51,Female,Divorced,Sales,Account Manager,9625,PhD,2013-02-23,Active,108.0,Travel_Frequently,No
23,Emp23,LN23,33,Nonbinary,Divorced,Marketing,Marketing Analyst,9508,Associate's,2011-05-30,Active,43.0,Travel_Frequently,Yes
24,Emp24,LN24,31,Nonbinary,Single,R&D,Lab Technician,11149,High School,2005-07-05,Active,66.0,Travel_Frequently,Yes
25,Emp25,LN25,41,Female,Divorced,R&D,Principal Researcher,7032,High School,2008-12-04,Terminated,40.0,Travel_Frequently,No
26,Emp26,LN26,50,Nonbinary,Divorced,Sales,Account Manager,8024,PhD,2016-01-09,Terminated,105.0,Travel_Rarely,No
27,Emp27,LN27,23,Nonbinary,Married,IT,Systems Admin,18878,Master's,2018-09-16,Terminated,118.0,Travel_Frequently,No
28,Emp28,LN28,25,Male,Married,R&D,Principal Researcher,15960,PhD,2010-05-19,Leave of Absence,58.0,Non-Travel,No
29,Emp29,LN29,56,Nonbinary,Married,Customer Success,Customer Success Manager,8974,High School,2013-04-26,Leave of Absence,6.0,Travel_Rarely,Yes
30,Emp30,LN30,26,Female,Married,Engineering,Data Engineer,10561,PhD,2021-06-24,Active,62.0,Travel_Rarely,Yes
31,Emp31,LN31,39,Nonbinary,Divorced,Customer Success,Customer Success Manager,5238,Bachelor's,2022-01-24,Active,94.0,Travel_Rarely,No
32,Emp32,LN32,55,Female,Single,Customer Success,Customer Success Manager,4467,Bachelor's,2008-01-02,Active,73.0,Non-Travel,No
33,Emp33,LN33,30,Female,Divorced,Human Resources,Recruiter,11449,PhD,2009-05-30,Leave of Absence,25.0,Non-Travel,No
34,Emp34,LN34,45,Male,Married,R&D,Principal Researcher,11965,PhD,2019-12-19,Leave of Absence,81.0,Travel_Rarely,Yes
35,Emp35,LN35,32,Male,Single,Human Resources,HR Manager,6844,High School,2010-08-10,Leave of Absence,1.0,Travel_Frequently,No
