employee_id,review_date,review_cycle,overall_rating,goals_score,manager_score,potential_rating,bonus_percentage,promotion_recommendation
1,2021-12-15,Annual,1,1.0,1.13,Low,0,No
1,2022-06-15,Mid-Year,3,2.03,3.67,Medium,6,No
1,2022-12-15,Annual,3,2.19,2.17,High,6,Yes
1,2023-06-15,Mid-Year,3,2.02,2.73,Low,6,No
2,2021-12-15,Annual,5,4.47,4.29,Medium,15,No
2,2022-06-15,Mid-Year,5,4.22,4.79,Medium,15,No
2,2022-12-15,Annual,4,3.9,2.95,Medium,10,No
2,2023-06-15,Mid-Year,4,2.9,3.84,Medium,10,No
4,2021-12-15,Annual,3,2.46,2.48,Medium,6,No
4,2022-06-15,Mid-Year,2,1.54,1.32,High,3,No
4,2022-12-15,Annual,1,1.0,1.0,High,0,No
4,2023-06-15,Mid-Year,3,2.63,2.63,Low,6,No
5,2021-12-15,Annual,2,1.27,1.77,Medium,3,Yes
5,2022-06-15,Mid-Year,3,2.26,2.03,High,6,No
5,2022-12-15,Annual,3,1.97,2.56,Medium,6,No
5,2023-06-15,Mid-Year,1,1.0,1.01,Low,0,No
7,2021-12-15,Annual,3,2.05,3.69,Medium,6,No
7,2022-06-15,Mid-Year,4,3.1,3.78,High,10,Yes
7,2022-12-15,Annual,3,2.45,1.58,Medium,6,No
7,2023-06-15,Mid-Year,4,3.54,3.18,High,10,No
8,2021-12-15,Annual,3,2.85,2.03,Medium,6,No
8,2022-06-15,Mid-Year,3,2.65,2.89,High,6,Yes
8,2022-12-15,Annual,3,2.58,2.96,Medium,6,No
8,2023-06-15,Mid-Year,3,2.02,2.93,Medium,6,No
10,2021-12-15,Annual,4,3.72,4.16,Medium,10,No
10,2022-06-15,Mid-Year,3,2.13,3.34,Medium,6,No
10,2022-12-15,Annual,3,2.46,3.06,Low,6,No
10,2023-06-15,Mid-Year,3,2.21,2.27,Low,6,No
11,2021-12-15,Annual,3,2.46,2.98,Low,6,Yes
11,2022-06-15,Mid-Year,3,1.96,1.79,Medium,6,No
11,2022-12-15,Annual,2,1.0,1.5,Medium,3,No
11,2023-06-15,Mid-Year,1,1.0,1.35,Low,0,No
12,2021-12-15,Annual,3,2.55,3.36,Medium,6,No
12,2022-06-15,Mid-Year,5,4.25,4.67,High,15,No
12,2022-12-15,Annual,4,3.56,3.48,Medium,10,No
12,2023-06-15,Mid-Year,2,1.57,2.59,High,3,No
13,2021-12-15,Annual,3,2.62,2.66,Medium,6,No
13,2022-06-15,Mid-Year,3,2.54,2.1,Medium,6,No
13,2022-12-15,Annual,3,2.28,2.7,Medium,6,No
13,2023-06-15,Mid-Year,3,2.2,2.18,High,6,No
14,2021-12-15,Annual,4,3.93,3.95,Medium,10,Yes
14,2022-06-15,Mid-Year,3,2.77,1.92,Medium,6,No
14,2022-12-15,Annual,3,2.95,2.89,Low,6,No
14,2023-06-15,Mid-Year,4,2.78,3.06,Low,10,No
15,2021-12-15,Annual,4,3.73,2.96,Medium,10,No
15,2022-06-15,Mid-Year,2,1.97,1.0,Medium,3,No
15,2022-12-15,Annual,3,2.49,2.67,Medium,6,No
15,2023-06-15,Mid-Year,3,1.75,2.32,Low,6,No
16,2021-12-15,Annual,4,3.27,3.55,Low,10,No
16,2022-06-15,Mid-Year,3,3.43,2.98,Medium,6,No
16,2022-12-15,Annual,3,3.47,2.23,Medium,6,No
16,2023-06-15,Mid-Year,2,2.25,1.77,Medium,3,Yes
18,2021-12-15,Annual,3,2.44,2.14,Medium,6,No
18,2022-06-15,Mid-Year,3,2.34,3.0,Medium,6,No
18,2022-12-15,Annual,3,2.32,2.84,Medium,6,No
18,2023-06-15,Mid-Year,3,2.43,2.28,High,6,No
19,2021-12-15,Annual,3,2.81,3.0,Medium,6,No
19,2022-06-15,Mid-Year,2,1.88,1.13,Low,3,No
19,2022-12-15,Annual,3,1.96,2.41,Medium,6,No
19,2023-06-15,Mid-Year,3,2.75,2.95,Medium,6,No
20,2021-12-15,Annual,3,2.23,2.35,Medium,6,No
20,2022-06-15,Mid-Year,4,3.78,2.86,Medium,10,No
20,2022-12-15,Annual,3,2.08,2.84,Medium,6,Yes
20,2023-06-15,Mid-Year,4,3.5,4.0,Medium,10,No
21,2021-12-15,Annual,4,2.25,3.31,Medium,10,No
21,2022-06-15,Mid-Year,3,1.89,2.78,Medium,6,No
21,2022-12-15,Annual,3,2.27,2.42,Medium,6,No
21,2023-06-15,Mid-Year,3,2.54,2.54,Medium,6,Yes
22,2021-12-15,Annual,2,1.16,2.05,Medium,3,No
22,2022-06-15,Mid-Year,3,2.66,2.91,Low,6,No
22,2022-12-15,Annual,4,3.65,3.28,High,10,No
22,2023-06-15,Mid-Year,3,3.04,2.17,Medium,6,No
23,2021-12-15,Annual,1,1.0,1.27,Low,0,Yes
23,2022-06-15,Mid-Year,3,3.19,1.76,Medium,6,No
23,2022-12-15,Annual,4,3.91,3.88,Medium,10,No
23,2023-06-15,Mid-Year,2,1.95,1.0,High,3,No
24,2021-12-15,Annual,3,2.81,1.48,Medium,6,No
24,2022-06-15,Mid-Year,3,1.69,2.81,Medium,6,Yes
24,2022-12-15,Annual,3,2.52,2.81,Medium,6,No
24,2023-06-15,Mid-Year,3,2.61,2.88,High,6,No
26,2021-12-15,Annual,2,1.8,1.59,Medium,3,No
26,2022-06-15,Mid-Year,4,3.21,2.59,Low,10,No
26,2022-12-15,Annual,3,3.05,1.97,Medium,6,No
26,2023-06-15,Mid-Year,3,2.24,2.75,Medium,6,Yes
27,2021-12-15,Annual,2,1.9,1.0,Medium,3,No
27,2022-06-15,Mid-Year,3,2.19,1.42,Medium,6,No
27,2022-12-15,Annual,3,2.48,2.9,Low,6,No
27,2023-06-15,Mid-Year,3,1.95,2.36,Medium,6,No
28,2021-12-15,Annual,2,1.0,2.26,Medium,3,No
28,2022-06-15,Mid-Year,3,2.78,2.11,High,6,No
28,2022-12-15,Annual,2,1.9,1.08,Medium,3,No
28,2023-06-15,Mid-Year,1,1.39,1.0,Medium,0,No
30,2021-12-15,Annual,4,3.47,3.09,High,10,No
30,2022-06-15,Mid-Year,4,3.6,2.61,Medium,10,No
30,2022-12-15,Annual,3,2.65,3.32,Medium,6,No
30,2023-06-15,Mid-Year,4,3.98,2.75,Medium,10,No
31,2021-12-15,Annual,4,3.48,4.32,Medium,10,No
31,2022-06-15,Mid-Year,2,1.59,2.25,Medium,3,No
31,2022-12-15,Annual,3,1.3,2.57,Medium,6,No
31,2023-06-15,Mid-Year,3,2.43,1.88,Medium,6,No
32,2021-12-15,Annual,3,1.89,3.32,Medium,6,No
32,2022-06-15,Mid-Year,3,2.62,1.71,Medium,6,No
32,2022-12-15,Annual,4,2.99,3.48,Medium,10,No
32,2023-06-15,Mid-Year,1,1.47,1.0,Low,0,No
33,2021-12-15,Annual,3,3.31,2.15,Medium,6,No
33,2022-06-15,Mid-Year,2,1.62,1.58,Medium,3,No
33,2022-12-15,Annual,4,3.31,3.96,Medium,10,No
33,2023-06-15,Mid-Year,4,3.03,3.7,High,10,No
35,2021-12-15,Annual,3,2.21,2.07,Medium,6,No
35,2022-06-15,Mid-Year,3,2.9,2.32,Medium,6,No
35,2022-12-15,Annual,4,3.1,3.9,Medium,10,No
35,2023-06-15,Mid-Year,5,4.21,4.55,Medium,15,No
36,2021-12-15,Annual,4,2.77,3.69,Medium,10,No
36,2022-06-15,Mid-Year,2,1.45,1.72,Low,3,No
36,2022-12-15,Annual,3,2.63,2.42,Medium,6,No
36,2023-06-15,Mid-Year,3,2.09,3.11,High,6,No
38,2021-12-15,Annual,4,3.4,3.13,Medium,10,No
38,2022-06-15,Mid-Year,4,3.49,2.54,Medium,10,No
38,2022-12-15,Annual,3,2.76,3.11,Medium,6,No
38,2023-06-15,Mid-Year,3,2.56,1.9,Medium,6,Yes
39,2021-12-15,Annual,3,3.1,2.57,Medium,6,No
39,2022-06-15,Mid-Year,3,2.52,2.76,Low,6,No
39,2022-12-15,Annual,3,2.93,1.93,Medium,6,No
39,2023-06-15,Mid-Year,3,3.1,3.27,Medium,6,No
40,2021-12-15,Annual,3,2.42,1.76,Medium,6,No
40,2022-06-15,Mid-Year,2,1.37,1.51,Low,3,No
40,2022-12-15,Annual,4,3.07,2.72,Low,10,No
40,2023-06-15,Mid-Year,2,2.53,2.78,High,3,Yes
41,2021-12-15,Annual,3,2.23,2.49,Low,6,Yes
41,2022-06-15,Mid-Year,2,1.0,1.65,High,3,No
41,2022-12-15,Annual,4,3.13,2.9,Low,10,No
41,2023-06-15,Mid-Year,3,1.95,2.39,Low,6,No
42,2021-12-15,Annual,2,1.0,1.91,Medium,3,No
42,2022-06-15,Mid-Year,5,4.44,3.29,Medium,15,No
42,2022-12-15,Annual,2,1.93,1.39,Medium,3,No
42,2023-06-15,Mid-Year,3,2.68,3.37,Medium,6,No
45,2021-12-15,Annual,3,2.31,2.3,Medium,6,No
45,2022-06-15,Mid-Year,3,2.38,1.31,Medium,6,Yes
45,2022-12-15,Annual,2,1.34,2.08,Medium,3,No
45,2023-06-15,Mid-Year,4,3.54,2.98,Medium,10,No
46,2021-12-15,Annual,2,2.39,1.24,Medium,3,No
46,2022-06-15,Mid-Year,3,2.23,2.36,Low,6,No
46,2022-12-15,Annual,3,2.53,2.75,High,6,No
46,2023-06-15,Mid-Year,3,2.66,2.59,Medium,6,No
47,2021-12-15,Annual,3,3.02,2.71,Medium,6,No
47,2022-06-15,Mid-Year,3,2.21,2.25,Medium,6,No
47,2022-12-15,Annual,3,2.73,2.35,Medium,6,Yes
47,2023-06-15,Mid-Year,3,2.74,1.3,Low,6,No
49,2021-12-15,Annual,2,1.73,2.53,Medium,3,No
49,2022-06-15,Mid-Year,3,2.48,2.09,Low,6,No
49,2022-12-15,Annual,4,3.52,3.42,High,10,No
49,2023-06-15,Mid-Year,4,3.06,3.9,High,10,No
51,2021-12-15,Annual,3,2.6,1.64,Medium,6,No
51,2022-06-15,Mid-Year,2,1.28,1.45,Low,3,No
51,2022-12-15,Annual,3,2.6,3.11,Medium,6,No
51,2023-06-15,Mid-Year,3,2.83,3.01,Medium,6,No
52,2021-12-15,Annual,4,2.58,3.25,Medium,10,Yes
52,2022-06-15,Mid-Year,2,1.42,1.23,Medium,3,No
52,2022-12-15,Annual,2,1.43,2.22,Low,3,Yes
