employee_id,review_date,review_cycle,overall_rating,goals_score,manager_score,potential_rating,bonus_percentage,promotion_recommendation,year,quarter
1,2021-12-15,Annual,1,1.0,1.13,Low,0,No,2021,4
1,2022-06-15,Mid-Year,3,2.03,3.67,Medium,6,No,2022,2
1,2022-12-15,Annual,3,2.19,2.17,High,6,Yes,2022,4
1,2023-06-15,Mid-Year,3,2.02,2.73,Low,6,No,2023,2
2,2021-12-15,Annual,5,4.47,4.29,Medium,15,No,2021,4
2,2022-06-15,Mid-Year,5,4.22,4.79,Medium,15,No,2022,2
2,2022-12-15,Annual,4,3.9,2.95,Medium,10,No,2022,4
2,2023-06-15,Mid-Year,4,2.9,3.84,Medium,10,No,2023,2
4,2021-12-15,Annual,3,2.46,2.48,Medium,6,No,2021,4
4,2022-06-15,Mid-Year,2,1.54,1.32,High,3,No,2022,2
4,2022-12-15,Annual,1,1.0,1.0,High,0,No,2022,4
4,2023-06-15,Mid-Year,3,2.63,2.63,Low,6,No,2023,2
5,2021-12-15,Annual,2,1.27,1.77,Medium,3,Yes,2021,4
5,2022-06-15,Mid-Year,3,2.26,2.03,High,6,No,2022,2
5,2022-12-15,Annual,3,1.97,2.56,Medium,6,No,2022,4
5,2023-06-15,Mid-Year,1,1.0,1.01,Low,0,No,2023,2
7,2021-12-15,Annual,3,2.05,3.69,Medium,6,No,2021,4
7,2022-06-15,Mid-Year,4,3.1,3.78,High,10,Yes,2022,2
7,2022-12-15,Annual,3,2.45,1.58,Medium,6,No,2022,4
7,2023-06-15,Mid-Year,4,3.54,3.18,High,10,No,2023,2
8,2021-12-15,Annual,3,2.85,2.03,Medium,6,No,2021,4
8,2022-06-15,Mid-Year,3,2.65,2.89,High,6,Yes,2022,2
8,2022-12-15,Annual,3,2.58,2.96,Medium,6,No,2022,4
8,2023-06-15,Mid-Year,3,2.02,2.93,Medium,6,No,2023,2
10,2021-12-15,Annual,4,3.72,4.16,Medium,10,No,2021,4
10,2022-06-15,Mid-Year,3,2.13,3.34,Medium,6,No,2022,2
10,2022-12-15,Annual,3,2.46,3.06,Low,6,No,2022,4
10,2023-06-15,Mid-Year,3,2.21,2.27,Low,6,No,2023,2
11,2021-12-15,Annual,3,2.46,2.98,Low,6,Yes,2021,4
11,2022-06-15,Mid-Year,3,1.96,1.79,Medium,6,No,2022,2
11,2022-12-15,Annual,2,1.0,1.5,Medium,3,No,2022,4
11,2023-06-15,Mid-Year,1,1.0,1.35,Low,0,No,2023,2
12,2021-12-15,Annual,3,2.55,3.36,Medium,6,No,2021,4
12,2022-06-15,Mid-Year,5,4.25,4.67,High,15,No,2022,2
12,2022-12-15,Annual,4,3.56,3.48,Medium,10,No,2022,4
12,2023-06-15,Mid-Year,2,1.57,2.59,High,3,No,2023,2
13,2021-12-15,Annual,3,2.62,2.66,Medium,6,No,2021,4
13,2022-06-15,Mid-Year,3,2.54,2.1,Medium,6,No,2022,2
13,2022-12-15,Annual,3,2.28,2.7,Medium,6,No,2022,4
13,2023-06-15,Mid-Year,3,2.2,2.18,High,6,No,2023,2
14,2021-12-15,Annual,4,3.93,3.95,Medium,10,Yes,2021,4
14,2022-06-15,Mid-Year,3,2.77,1.92,Medium,6,No,2022,2
14,2022-12-15,Annual,3,2.95,2.89,Low,6,No,2022,4
14,2023-06-15,Mid-Year,4,2.78,3.06,Low,10,No,2023,2
15,2021-12-15,Annual,4,3.73,2.96,Medium,10,No,2021,4
15,2022-06-15,Mid-Year,2,1.97,1.0,Medium,3,No,2022,2
15,2022-12-15,Annual,3,2.49,2.67,Medium,6,No,2022,4
15,2023-06-15,Mid-Year,3,1.75,2.32,Low,6,No,2023,2
16,2021-12-15,Annual,4,3.27,3.55,Low,10,No,2021,4
16,2022-06-15,Mid-Year,3,3.43,2.98,Medium,6,No,2022,2
